"TIME","FRAME-WIDTH","FRAME-HEIGHT","PERSONS","P1-X","P1-Y","P1-WIDTH","P1-HEIGHT","P1-SPEAKS","P2-X","P2-Y","P2-WIDTH","P2-HEIGHT","P2-SPEAKS","P3-X","P3-Y","P3-WIDTH","P3-HEIGHT","P3-SPEAKS"
"0.04","1280","360","0"
"0.08","1280","360","0"
"0.12","1280","360","0"
"0.16","1280","360","3","605","180","140","161","0.0","174","201","161","185","0.0","1080","227","164","188","0.0"
"0.2","1280","360","3","605","180","140","161","0.0","175","201","162","186","0.0","1081","226","154","177","0.0"
"0.24","1280","360","3","606","181","141","162","0.0","175","201","164","188","0.0","1081","228","156","179","0.0"
"0.28","1280","360","3","605","181","142","163","0.0","175","201","161","185","0.0","1082","228","158","181","0.0"
"0.32","1280","360","3","605","181","144","165","1.40019379845","175","201","163","187","0.0","1082","230","155","178","0.0"
"0.36","1280","360","3","605","182","143","164","1.19718309859","175","201","163","187","0.0","1081","231","153","175","0.0"
"0.4","1280","360","3","604","181","141","162","0.0","175","202","162","186","0.0","1083","235","157","180","0.0"
"0.44","1280","360","3","605","181","141","162","0.0","176","201","164","188","0.0","1088","238","150","172","0.0"
"0.48","1280","360","3","606","181","142","163","0.0","174","201","159","182","0.0","1091","247","148","170","0.391584766585"
"0.52","1280","360","3","605","181","141","162","0.0","174","202","164","188","0.0","1093","250","150","172","0.0"
"0.56","1280","360","3","606","181","142","163","0.0","174","201","163","187","0.0","1095","254","146","167","0.0"
"0.6","1280","360","3","606","181","142","163","0.0","175","202","164","188","0.0","1099","258","138","158","0.0"
"0.64","1280","360","3","606","182","144","165","0.0","174","201","163","187","0.0","1096","261","141","162","0.0"
"0.68","1280","360","3","606","182","144","165","0.0","175","201","165","189","0.0","1096","261","141","162","0.0"
"0.72","1280","360","3","606","181","144","165","0.658914728682","174","201","163","187","0.0","1096","261","141","162","0.0"
"0.76","1280","360","3","607","182","144","165","0.0","175","201","162","186","0.0","1096","261","141","162","0.0"
